time 600 560 0,abs 600 560 0,old_name,new_name
98.990602,2.268,,
99.0897001,2.271,,
99.1897404,2.259,,
99.2896797,2.285,,
99.3896783,2.281,,
99.49054,2.26,,
99.5898424,2.255,,
99.6896719,2.267,,
99.7920897,2.267,,
99.9213898,2.282,,
99.9905931,2.274,,
100.09272,2.299,,
100.1911741,2.282,,
100.2894553,2.314,,
100.3894802,2.322,,
100.49088,2.292,,
100.5903038,2.305,,
100.6899827,2.27,,
100.7941269,2.275,,
100.8897696,2.269,,
100.9920792,2.281,,
101.0897955,2.296,,
101.1965178,2.277,,
101.2925445,2.265,,
101.3922707,2.282,,
101.4897973,2.258,,
101.591988,2.269,,
101.6927664,2.282,,
101.7946164,2.246,,
101.8900339,2.259,,
101.990305,2.241,,
102.0901189,2.286,,
102.1951217,2.275,,
102.2898523,2.273,,
102.3900346,2.28,,
102.4896589,2.261,,
102.5903888,2.234,,
102.6898073,2.288,,
102.7902208,2.259,,
102.8911767,2.263,,
103.0031933,2.29,,
103.0929133,2.287,,
103.1895443,2.284,,
103.2914048,2.289,,
103.391875,2.259,,
103.4895161,2.269,,
103.5894464,2.255,,
103.6897255,2.256,,
103.7945322,2.285,,
103.8895515,2.291,,
103.989349,2.265,,
104.0895304,2.304,,
104.1924252,2.264,,
104.2899337,2.278,,
104.390177,2.276,,
104.4900372,2.304,,
104.5939974,2.284,,
104.6896787,2.276,,
104.7925692,2.251,,
104.8896545,2.315,,
104.9963523,2.273,,
105.0892401,2.294,,
105.1890784,2.28,,
105.2898762,2.314,,
105.389211,2.294,,
105.4896462,2.299,,
105.5906999,2.259,,
105.6922125,2.278,,
105.7891207,2.263,,
105.8891712,2.275,,
105.9891646,2.284,,
106.0892756,2.288,,
106.1891782,2.279,,
106.2921406,2.271,,
106.389275,2.287,,
106.4915601,2.292,,
106.5920703,2.307,,
106.6920081,2.287,,
106.7900055,2.263,,
106.8888727,2.271,,
106.9888686,2.265,,
107.0889932,2.262,,
107.1888981,2.267,,
107.2975181,2.259,,
107.3892079,2.288,,
107.4909648,2.272,,
107.5890657,2.3,,
107.6889971,2.251,,
107.7990326,2.257,,
107.892157,2.286,,
107.9904651,2.27,,
108.088969,2.292,,
108.1912062,2.269,,
108.2890079,2.29,,
108.3887041,2.274,,
108.4887299,2.254,,
108.5906165,2.267,,
108.6886873,2.28,,
108.7888084,2.291,,
108.8886555,2.241,,
108.9887475,2.262,,
109.0910601,2.281,,
109.188599,2.269,,
109.2909192,2.303,,
109.388923,2.267,,
109.4949848,2.275,,
109.5888088,2.284,,
109.6888248,2.269,,
109.7899072,2.252,,
109.8887223,2.256,,
109.9885871,2.259,,
110.0885666,2.287,,
110.1939169,2.278,,
110.2887154,2.257,,
110.3885329,2.25,,
110.4885829,2.284,,
110.5888805,2.291,,
110.6930079,2.292,,
110.7910348,2.309,,
110.8931055,2.267,,
110.9887477,2.247,,
111.0905144,2.286,,
111.1886323,2.291,,
111.2884535,2.277,,
111.3886832,2.285,,
111.4889325,2.289,,
111.5899214,2.303,,
111.6883964,2.289,,
111.7885104,2.274,,
111.888471,2.311,,
111.9889035,2.289,,
112.0883676,2.264,,
112.1883863,2.261,,
112.2885433,2.27,,
112.3972647,2.287,,
112.4884957,2.287,,
112.5905813,2.305,,
112.6886682,2.317,,
112.7903896,2.251,,
112.8937625,2.275,,
112.9882937,2.273,,
113.0882649,2.263,,
113.190443,2.248,,
113.288282,2.271,,
113.3917549,2.278,,
113.4883096,2.269,,
113.5932176,2.266,,
113.6883824,2.263,,
113.7885103,2.28,,
113.8917379,2.28,,
113.988327,2.281,,
114.0914572,2.278,,
114.1883238,2.278,,
114.2934918,2.277,,
114.3883273,2.277,,
114.4881521,2.265,,
114.5882024,2.254,,
114.6881001,2.25,,
114.788166,2.308,,
114.8883125,2.292,,
114.9898081,2.27,,
115.0883712,2.275,,
115.1881075,2.261,,
115.2881152,2.287,,
115.3904524,2.283,,
115.488401,2.274,,
115.5882505,2.278,,
115.688182,2.264,,
115.7881889,2.267,,
115.8881618,2.272,,
115.9926922,2.264,,
116.0881981,2.299,,
116.1880022,2.302,,
116.2880354,2.241,,
